Symbol,Name,LastSale,MarketCap,MktCap,Sector,Industry,SExchange,LSymbol
APA,Apache Corporation,48.86,$18.59B,18590000000.00,Energy,Oil & Gas Production,NYSE,apa
KOF,Coca Cola Femsa S.A.B. de C.V.,88.33,$18.56B,18560000000.00,Consumer Non-Durables,Beverages (Production/Distribution),NYSE,kof
NUE,Nucor Corporation,58.12,$18.54B,18540000000.00,Basic Industries,Steel/Iron Ore,NYSE,nue
BXP,"Boston Properties, Inc.",120.37,$18.52B,18520000000.00,Consumer Services,Real Estate Investment Trusts,NYSE,bxp
DLR,"Digital Realty Trust, Inc.",113.32,$18.38B,18380000000.00,Consumer Services,Real Estate Investment Trusts,NYSE,dlr
INFO,IHS Markit Ltd.,45.93,$18.34B,18340000000.00,Technology,"Computer Software: Programming, Data Processing",NASDAQ,info
OMC,Omnicom Group Inc.,78.83,$18.19B,18190000000.00,Technology,Advertising,NYSE,omc
MGA,"Magna International, Inc.",48.34,$18.04B,18040000000.00,Capital Goods,Auto Parts:O.E.M.,NYSE,mga
HRL,Hormel Foods Corporation,34.01,$17.98B,17980000000.00,Consumer Non-Durables,Meat/Poultry/Fish,NYSE,hrl
RHT,"Red Hat, Inc.",100.67,$17.86B,17860000000.00,Technology,"Computer Software: Programming, Data Processing",NYSE,rht
CHKP,Check Point Software Technologies Ltd.,107.57,$17.85B,17850000000.00,Technology,Computer Software: Prepackaged Software,NASDAQ,chkp
MHK,"Mohawk Industries, Inc.",240.13,$17.85B,17850000000.00,Consumer Durables,Home Furnishings,NYSE,mhk
CFG,"Citizens Financial Group, Inc.",35.17,$17.79B,17790000000.00,Finance,Major Banks,NYSE,cfg
COL,"Rockwell Collins, Inc.",109.55,$17.79B,17790000000.00,Capital Goods,Military/Government/Technical,NYSE,col
BAP,Credicorp Ltd.,187.38,$17.69B,17690000000.00,Finance,Commercial Banks,NYSE,bap
EFX,"Equifax, Inc.",146.21,$17.58B,17580000000.00,Finance,Finance: Consumer Services,NYSE,efx
ESS,"Essex Property Trust, Inc.",267.14,$17.52B,17520000000.00,Consumer Services,Real Estate Investment Trusts,NYSE,ess
FDC,First Data Corporation,19.04,$17.5B,17500000000.00,Miscellaneous,Business Services,NYSE,fdc
WCN,"Waste Connections, Inc.",66,$17.4B,17400000000.00,Public Utilities,Environmental Services,NYSE,wcn
DVN,Devon Energy Corporation,32.99,$17.34B,17340000000.00,Energy,Oil & Gas Production,NYSE,dvn
RF,Regions Financial Corporation,14.45,$17.33B,17330000000.00,Finance,Major Banks,NYSE,rf
CLX,Clorox Company (The),133.43,$17.19B,17190000000.00,Consumer Durables,Specialty Chemicals,NYSE,clx
SKM,"SK Telecom Co., Ltd.",27.02,$17.19B,17190000000.00,Public Utilities,Telecommunications Equipment,NYSE,skm
ORLY,"O&#39;Reilly Automotive, Inc.",187.43,$17.06B,17060000000.00,Consumer Services,Other Specialty Stores,NASDAQ,orly
BBY,"Best Buy Co., Inc.",55.57,$16.95B,16950000000.00,Consumer Services,Consumer Electronics/Video Chains,NYSE,bby
DPS,"Dr Pepper Snapple Group, Inc",92.15,$16.94B,16940000000.00,Consumer Non-Durables,Beverages (Production/Distribution),NYSE,dps
DLTR,"Dollar Tree, Inc.",70.92,$16.79B,16790000000.00,Consumer Services,Department/Specialty Retail Stores,NASDAQ,dltr
WB,Weibo Corporation,76.35,$16.65B,16650000000.00,Technology,"Computer Software: Programming, Data Processing",NASDAQ,wb
VMC,Vulcan Materials Company,125.65,$16.61B,16610000000.00,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE,vmc
LH,Laboratory Corporation of America Holdings,161.17,$16.49B,16490000000.00,Health Care,Medical Specialities,NYSE,lh
SBAC,SBA Communications Corporation,135.57,$16.44B,16440000000.00,Consumer Services,Real Estate Investment Trusts,NASDAQ,sbac
LBRDK,Liberty Broadband Corporation,90.12,$16.39B,16390000000.00,Consumer Services,Television Services,NASDAQ,lbrdk
L,Loews Corporation,48.12,$16.2B,16200000000.00,Finance,Property-Casualty Insurers,NYSE,l
LBRDA,Liberty Broadband Corporation,89.11,$16.2B,16200000000.00,Consumer Services,Television Services,NASDAQ,lbrda
XLNX,"Xilinx, Inc.",65.32,$16.2B,16200000000.00,Technology,Semiconductors,NASDAQ,xlnx
MMP,Magellan Midstream Partners L.P.,70.62,$16.1B,16100000000.00,Energy,Natural Gas Distribution,NYSE,mmp
FNF,"Fidelity National Financial, Inc.",47.42,$16.08B,16080000000.00,Finance,Specialty Insurers,NYSE,fnf
LNC,Lincoln National Corporation,71.51,$16.04B,16040000000.00,Finance,Life Insurance,NYSE,lnc
IBKR,"Interactive Brokers Group, Inc.",39.09,$16B,16000000000.00,Finance,Investment Bankers/Brokers/Service,NASDAQ,ibkr
VIA,Viacom Inc.,39.75,$15.97B,15970000000.00,Consumer Services,Television Services,NASDAQ,via
CPB,Campbell Soup Company,52.61,$15.94B,15940000000.00,Consumer Non-Durables,Packaged Foods,NYSE,cpb
TV,Grupo Televisa S.A.,26.92,$15.9B,15900000000.00,Consumer Services,Broadcasting,NYSE,tv
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,88.09,$15.83B,15830000000.00,NA,NA,NASDAQ,vcit
O,Realty Income Corporation,57.92,$15.82B,15820000000.00,Consumer Services,Real Estate Investment Trusts,NYSE,o
KLAC,KLA-Tencor Corporation,100.86,$15.81B,15810000000.00,Capital Goods,Electronic Components,NASDAQ,klac
SNAP,Snap Inc.,13.4,$15.8B,15800000000.00,Technology,"Computer Software: Programming, Data Processing",NYSE,snap
FRC,FIRST REPUBLIC BANK,100.29,$15.77B,15770000000.00,NA,NA,NYSE,frc
CNHI,CNH Industrial N.V.,11.54,$15.73B,15730000000.00,Capital Goods,Construction/Ag Equipment/Trucks,NYSE,cnhi
TSO,Tesoro Corporation,97.79,$15.64B,15640000000.00,Energy,Integrated oil Companies,NYSE,tso
SNN,"Smith & Nephew SNATS, Inc.",34.56,$15.62B,15620000000.00,Health Care,Industrial Specialties,NYSE,snn
BMRN,BioMarin Pharmaceutical Inc.,89.2,$15.56B,15560000000.00,Health Care,Major Pharmaceuticals,NASDAQ,bmrn
MTD,"Mettler-Toledo International, Inc.",597.85,$15.44B,15440000000.00,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NYSE,mtd
BHGE,"Baker Hughes, a GE company",36.05,$15.34B,15340000000.00,Energy,Metal Fabrications,NYSE,bhge
ULTA,"Ulta Beauty, Inc.",247.24,$15.34B,15340000000.00,Consumer Services,Other Specialty Stores,NASDAQ,ulta
STM,STMicroelectronics N.V.,17.05,$15.06B,15060000000.00,Technology,Semiconductors,NYSE,stm
MSI,"Motorola Solutions, Inc.",91.84,$15.01B,15010000000.00,Technology,Radio And Television Broadcasting And Communications Equipment,NYSE,msi
HCP,"HCP, Inc.",31.99,$14.99B,14990000000.00,Consumer Services,Real Estate Investment Trusts,NYSE,hcp
FTS,Fortis Inc.,35.77,$14.95B,14950000000.00,Public Utilities,Electric Utilities: Central,NYSE,fts
BLL,Ball Corporation,42.41,$14.89B,14890000000.00,Consumer Durables,Containers/Packaging,NYSE,bll
TDG,Transdigm Group Incorporated,286.05,$14.88B,14880000000.00,Capital Goods,Military/Government/Technical,NYSE,tdg
POT,Potash Corporation of Saskatchewan Inc.,17.7,$14.87B,14870000000.00,Basic Industries,Agricultural Chemicals,NYSE,pot
